Date;Transaction_coin;USD_price
2021-03-28 09:44:08;ETH;1718.13
2021-03-27 00:55:05;ETH;1718.0
2021-03-27 00:18:57;ETH;1698.0
2021-03-22 13:07:39;BTC;57600.0
2021-03-22 13:03:09;BTC;57820.0
2021-03-18 22:56:45;ETH;1786.0
2021-03-28 09:44:07;ETH;1717
2021-03-27 00:55:04;ETH;1697
2021-03-27 00:18:56;ETH;1684
2021-03-22 13:07:38;BTC;57574
2021-03-22 13:03:08;BTC;57588
2021-03-18 22:56:44;ETH;1782
2021-04-04 22:17:56;BNB;348.5
2021-04-04 22:18:16;BNB;348.5
2021-04-04 17:33:59;BTC;58100
2021-04-04 17:24:25;BTC;58372
2021-04-04 22:18:17;BNB;348.5
2021-04-04 17:34:00;BTC;58100
2021-04-04 17:24:26;BTC;58372
2021-05-08 11:10:11;BTC;58651
2021-05-08 11:10:12;BTC;58651
2021-05-08 11:07:09;BTC;58754.4
2021-05-08 11:07:10;BTC;58754.4
